"congress","chamber","screen_name","bioguide_id","member","account_type","handle_type"
"115","House","REPWEBSTER","W000806","Daniel Webster","office","screen_name"
"115","House","REPTIPTON","T000470","Scott Tipton","office","screen_name"
"115","House","DARRELLISSA","I000056","Darrell Issa","office","screen_name"
"115","House","REPJOECOURTNEY","C001069","Joe Courtney","office","screen_name"
"115","House","CONGBILLPOSEY","P000599","Bill Posey","office","screen_name"
"115","House","REPGUSBILIRAKIS","B001257","Gus Bilirakis","office","screen_name"
"115","House","REPTEDDEUTCH","D000610","Ted Deutch","office","screen_name"
"115","House","SANFORDBISHOP","B000490","Sanford Bishop","office","screen_name"
"115","House","REPLOUDERMILK","L000583","Barry Loudermilk","office","screen_name"
"115","House","REPBUDDYCARTER","C001103","Buddy Carter","office","screen_name"
"115","House","REPCHARLIECRIST","C001111","Charlie Crist","office","screen_name"
"115","House","VERNBUCHANAN","B001260","Vern Buchanan","office","screen_name"
"115","House","REPROBINKELLY","K000385","Robin Kelly","office","screen_name"
"115","House","REPDANNYDAVIS","D000096","Danny K. Davis","office","screen_name"
"115","House","REPWALORSKI","W000813","Jackie Walorski","office","screen_name"
"115","House","SUSANWBROOKS","B001284","Susan Brooks","office","screen_name"
"115","House","REPLARRYBUCSHON","B001275","Larry Bucshon","office","screen_name"
"115","House","REPJOHNYARMUTH","Y000062","John Yarmuth","office","screen_name"
"115","House","REPRICHMOND","R000588","Cedric Richmond","office","screen_name"
"115","House","REPHUIZENGA","H001058","Bill Huizenga","office","screen_name"
"115","House","REPJOHNDELANEY","D000620","John Delaney","office","screen_name"
"115","House","REPSTEPHENLYNCH","L000562","Stephen Lynch","office","screen_name"
"115","House","REPDANKILDEE","K000380","Dan Kildee","office","screen_name"
"115","House","REPKCLARK","C001101","Katherine Clark","office","screen_name"
"115","House","REPWALBERG","W000798","Tim Walberg","office","screen_name"
"115","House","REPMOOLENAAR","M001194","John Moolenaar","office","screen_name"
"115","House","WHIPHOYER","H000874","Steny Hoyer","office","prev_names"
"115","House","REPMIKECAPUANO","C001037","Mike Capuano","office","screen_name"
"115","House","REPFREDUPTON","U000031","Fred Upton","office","screen_name"
"115","House","REPMIKEBISHOP","B001293","Mike Bishop","office","screen_name"
"115","House","REPMCGOVERN","M000312","Jim McGovern","office","screen_name"
"115","House","BETTYMCCOLLUM04","M001143","Betty McCollum","office","screen_name"
"115","House","REPTIMWALZ","W000799","Tim Walz","office","screen_name"
"115","House","KEITHELLISON","E000288","Keith Ellison","office","screen_name"
